store_name,store_company_by_GPT
FAREWAY STORES #888 / JEFFERSON,FAREWAY
FAREWAY STORES #995 / PELLA,FAREWAY
FAREWAY STORES #044 / BETTENDORF,FAREWAY
HARTLEY WINE AND SPIRITS,HARTLEY
FAREWAY STORES #848 / NEWTON,FAREWAY
FAREWAY STORES #792 / TOLEDO,FAREWAY
FAREWAY STORES #987 / DAVENPORT,FAREWAY
FAREWAY STORES #014 / SERGEANT BLUFF,FAREWAY
FAREWAY STORES #019 / SIOUX CITY,FAREWAY
FAREWAY STORES #022 / SIOUX CITY,FAREWAY
FAREWAY STORES #829 / SIOUX CITY,FAREWAY
LIQUOR AND TOBACCO OUTLET /,LIQUOR AND TOBACCO
FAREWAY STORES #025 / CLINTON,FAREWAY
FAREWAY STORES #467 / MARSHALLTOWN,FAREWAY
WAL-MART 5748 / GRIMES,WAL-MART
SICHANH LIQUOR STORE,SICHANH
FAREWAY STORES #462 / VINTON,FAREWAY
FAREWAY STORES #790 / HARLAN,FAREWAY
FAREWAY STORES #106 / CLIVE,FAREWAY
FAREWAY STORES #719 / LE MARS,FAREWAY
"ELLIOTT'S GENERAL STORE,",ELLIOTT'S GENERAL
FAREWAY STORES #815 / CRESCO,FAREWAY
FAREWAY STORES #788 / SPENCER,FAREWAY
FAREWAY STORES #395 / WEBSTER CITY,FAREWAY
FAREWAY STORES #551 / EAGLE GROVE,FAREWAY
FAREWAY STORES #850 / SPIRIT LAKE,FAREWAY
FAREWAY STORES #938 / SHENANDOAH,FAREWAY
FAREWAY STORES #879 / BELMOND,FAREWAY
FAREWAY STORES #021 / SHELDON,FAREWAY
FAREWAY STORES #048 / CLARINDA,FAREWAY
FAREWAY STORES #882 / ELDORA,FAREWAY
AJ'S LIQUOR / AMES,AJ'S LIQUOR
FAREWAY STORES #840 / MONTICELLO,FAREWAY
FAREWAY STORES #683 / WINTERSET,FAREWAY
FAREWAY STORES #849 / EMMETSBURG,FAREWAY
FAREWAY STORES #058 / ORANGE CITY,FAREWAY
FAREWAY STORES #912 / SIOUX CENTER,FAREWAY
FAREWAY STORES #009 / BURLINGTON,FAREWAY
FAREWAY STORES #699 / OSCEOLA,FAREWAY
KWIK STOP 3 / WATERLOO,KWIK STOP
WAL-MART 1683 / SHENANDOAH,WAL-MART
MAIN STREET MARKET OF ANITA,MAIN STREET MARKET
FAREWAY STORES #531 / ALGONA,FAREWAY
TIPTON FAMILY FOODS,TIPTON FAMILY
FAREWAY STORES #827 / CENTERVILLE,FAREWAY
FAREWAY STORES #407 / ESTERVILLE,FAREWAY
SMOKIN' JOE'S #4 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
RUTHVEN MEAT PROCESSING,RUTHVEN MEAT
FAREWAY STORES #980 / KNOXVILLE,FAREWAY
CORK IT!,CORK IT
KEOTA EAGLE FOODS,KEOTA EAGLE
FAREWAY STORES #559 / IOWA FALLS,FAREWAY
FAREWAY STORES #922 / NEW HAMPTON,FAREWAY
FAREWAY STORES #062 / WAUKON,FAREWAY
FAREWAY STORES #597 / CRESTON,FAREWAY
CIRCLE B MARKET,CIRCLE B
TERRY'S FOOD CENTER,TERRY'S FOOD
HOMETOWN MARKET / CENTRAL CITY,HOMETOWN MARKET
FAREWAY STORES #625 / OSKALOOSA,FAREWAY
SAHOTA FOOD MART,SAHOTA FOOD
NORTHSIDE ONE STOP / HAMPTON,NORTHSIDE ONE STOP
FAREWAY STORES #502 / CHEROKEE,FAREWAY
FAREWAY STORES #508 / FORT DODGE,FAREWAY
I-80 LIQUOR / COUNCIL BLUFFS,I-80 LIQUOR
FAREWAY STORES #940 / ATLANTIC,FAREWAY
FAREWAY STORES #554 / WASHINGTON,FAREWAY
FAREWAY STORES #941 / GREENFIELD,FAREWAY
FAREWAY STORES #841 / RED OAK,FAREWAY
FAREWAY STORES #703 / HUMBOLT,FAREWAY
FAREWAY STORES #470 / PERRY,FAREWAY
FAREWAY STORES #501 / CHARLES CITY,FAREWAY
DAYTON COMMUNITY GROCERY,DAYTON COMMUNITY
STRATFORD FOOD CENTER,STRATFORD FOOD
FAREWAY STORES #114 / DUBUQUE,FAREWAY
LAST CALL 2,LAST CALL
GRAND FALLS CASINO RESORT,GRAND FALLS CASINO
RANDHAWA'S TRAVEL CENTER,RANDHAWA'S TRAVEL
BEST FOOD MART / DES MOINES,BEST FOOD MART
LUCKY MART,LUCKY
ROY'S FOODLAND,ROY'S FOODLAND
KUM & GO #301 / CLEAR LAKE,KUM & GO
KUM & GO #302 / CLEAR LAKE,KUM & GO
KUM & GO #124 / STORY CITY,KUM & GO
KUM & GO #396 / NEVADA,KUM & GO
KUM & GO #75 / WAUKEE,KUM & GO
QUIK TRIP #538 / NW 2ND / DSM,QUIK TRIP
KUM & GO #135 / POLK CITY,KUM & GO
KUM & GO #22 / GRINNELL,KUM & GO
KUM & GO #222 / WEST ST GRINNELL,KUM & GO
KUM & GO #137 / TIFFIN,KUM & GO
KUM & GO #570 / JOHNSTON,KUM & GO
KUM & GO #28 / NORWALK,KUM & GO
KUM & GO #240 / NORTH AVE NORWALK,KUM & GO
KUM & GO #50 / WEST DES MOINES,KUM & GO
KUM & GO #74 / WEST DES MOINES,KUM & GO
KUM & GO #141 / GRIMES,KUM & GO
KUM & GO #237 / GRIMES,KUM & GO
QUIK TRIP #562 / NE 14TH / DSM,QUIK TRIP
KUM & GO #1202 / WAUKEE,KUM & GO
KUM & GO #2091 / ASHWORTH / WDM,KUM & GO
KUM & GO #254 / WEST BRANCH,KUM & GO
KUM & GO #8 / 8TH ST / WDM,KUM & GO
KUM & GO #2093 / ADEL,KUM & GO
KUM & GO #43 / NEW VIRGINIA,KUM & GO
KUM & GO #117 / SPIRIT LAKE,KUM & GO
QUIK TRIP #566 / CLIVE,QUIK TRIP
KUM & GO #156 / CLIVE,KUM & GO
KUM & GO #206 / CLIVE,KUM & GO
KUM & GO #133 / ELLSWORTH,KUM & GO
"TRUNCK'S COUNTRY FOODS, INC.",TRUNCK'S
QUIK TRIP #514 / ANKENY,QUIK TRIP
KUM & GO #503 / MARION,KUM & GO
KUM & GO #80 / RIVERSIDE,KUM & GO
KUM & GO #292 / ANKENY,KUM & GO
KUM & GO #92 / ANKENY,KUM & GO
KUM & GO #4020 / ANKENY,KUM & GO
KUM & GO #2217 / BOONE,KUM & GO
KUM & GO #90 / BOONE,KUM & GO
KUM & GO #203 / PERRY,KUM & GO
KUM & GO #95 / DE SOTO,KUM & GO
KUM & GO #267 / TIPTON,KUM & GO
KUM & GO #439 / WAPELLO,KUM & GO
KUM & GO #23 / NEOLA,KUM & GO
KUM & GO #513 / ACKLEY,KUM & GO
KUM & GO #83 / CASEY,KUM & GO
KUM & GO #76 / ADAIR,KUM & GO
KUM & GO #46 / WALNUT,KUM & GO
KUM & GO #4 / LAMONI,KUM & GO
KUM & GO # 1 / HAMPTON,KUM & GO
CIRCLE K #4706601 / BURLINGTON,CIRCLE K
KUM & GO #507 / NORTH LIBERTY,KUM & GO
KUM & GO #200 / AMES,KUM & GO
KUM & GO #32 / COLFAX,KUM & GO
KUM & GO #24 PLEASANT HILL,KUM & GO
TODD'S,TODD'S
KUM & GO #216 AMES,KUM & GO
KUM & GO #214 AMES,KUM & GO
CENTER POINT FOODS,CENTER POINT
PALO MINI MART,PALO
KUM & GO #4127 / SLOAN,KUM & GO
QUIK TRIP #513 / URBANDALE,QUIK TRIP
QUIK TRIP #567 / URBANDALE,QUIK TRIP
KUM & GO #572 / URBANDALE,KUM & GO
KUM & GO #121 / URBANDALE,KUM & GO
KUM & GO #157 / URBANDALE,KUM & GO
SELECT MART GORDON DR,SELECT MART
SID'S GAS AND GROCERIES,SID'S
KUM & GO #248 / SIOUX CITY,KUM & GO
KUM & GO #1959 / ELDORA,KUM & GO
KUM & GO #53 / IOWA CITY,KUM & GO
KUM & GO #422 / IOWA CITY,KUM & GO
QUIK TRIP #568 / JOHNSTON,QUIK TRIP
KUM & GO #544 / EAGLE GROVE,KUM & GO
QUIK TRIP #503 / WINDSOR HEIGHTS,QUIK TRIP
SHELTON'S,SHELTON'S
CASEY'S GENERAL STORE #3031 / GARNER,CASEY'S GENERAL STORE
PERFECT VALUE LIQUOR MART,PERFECT VALUE
THE PUMPER,THE PUMPER
KUM & GO #438 / MUSCATINE,KUM & GO
CIRCLE K #4706600 / MUSCATINE,CIRCLE K
QUICK SHOP FOODS / CENTERVILLE,QUICK SHOP
CASEY'S GENERAL STORE #92 / PANORA,CASEY'S GENERAL STORE
BUCKY'S EXPRESS #34 / COUNCIL BLUFFS,BUCKY'S EXPRESS
BUCKY'S EXPRESS #27 / COUNCIL BLUFFS,BUCKY'S EXPRESS
BUCKY'S EXPRESS #16 / COUNCIL BLUFFS,BUCKY'S EXPRESS
BUCKY'S EXPRESS #17 / COUNCIL BLUFFS,BUCKY'S EXPRESS
U S GAS,U S GAS
CIRCLE K #4706602 / CLINTON,CIRCLE K
INDY 66 WEST #929 / INDIANOLA,INDY 66 WEST
DYNO'S 51 / SANBORN,DYNO'S
CASEY'S GENERAL STORE #2787 / CEDAR RAPIDS,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2763 / CEDAR RAPIDS,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2766 / CEDAR RAPIDS,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2772 / CEDAR RAPIDS,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2773 / CEDAR RAPIDS,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2850 / CEDAR RAPIDS,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #3055 / GRUNDY CENTER,CASEY'S GENERAL STORE
B P ON 1ST,B P
CASEY'S GENERAL STORE #20 / ALDEN,CASEY'S GENERAL STORE
SPEEDE SHOP / WINTHROP,SPEEDE SHOP
CASEY'S GENERAL STORE #1316 / MILFORD,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2788 / NORTH LIBERTY,CASEY'S GENERAL STORE
KUM & GO #134 / FAIRFIELD,KUM & GO
CASEY'S GENERAL STORE #38 / TREYNOR,CASEY'S GENERAL STORE
JIFFY EXPRESS #921 / INDIANOLA,JIFFY EXPRESS
CASEY'S GENERAL STORE #2816 / JOHNSTON,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2667 / TIFFIN,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2902 / SPENCER,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2877 / SPENCER,CASEY'S GENERAL STORE
AJ'S LIQUOR II,AJ'S LIQUOR
CASEY'S GENERAL STORE #1007 / MALVERN,CASEY'S GENERAL STORE
SUPER QUICK / SE 30 DM,SUPER QUICK
METRO MART #4 / WATERLOO,METRO MART
CASEY'S GENERAL STORE #1144 / POLK CITY,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2813 / FORT DODGE,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #1588 / DOWS,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #1569 / OAKLAND,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2767 / CEDAR RAPIDS,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2824 / WDM,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2923 / WDM,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2842 / HUXLEY,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #1002 / GRAND JUNCTION,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2523 / MONROE,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2563 / EXIRA,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #1139 / NORA SPRINGS,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2425 / AKRON,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #30 / GILMORE CITY,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #1303 / MARSHALLTOWN,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #3262 / BUFFALO,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2566 / ELY,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2626 / AFTON,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2274 / SIOUX RAPIDS,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #1985 / ST. ANSGAR,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2421 / DUBUQUE,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2420 / DUBUQUE,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #1834 / LEON,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #40 / SCRANTON,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2915 / BELLEVUE,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #1045 / DELMAR,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2994 / LAUREN,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2924 / MARION,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #1898 / OSCEOLA,CASEY'S GENERAL STORE
FILL R UP,FILL R UP
CASEY'S GENERAL STORE #2303 / GLIDDEN,CASEY'S GENERAL STORE
FAREWAY STORES #902 / HAMPTON,FAREWAY STORES
CASEY'S GENERAL STORE #2594 / WALKER,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2913 / COLO,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2845 / URBANA,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2493 / BUFFALO,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #1892 / SHEFFIELD,CASEY'S GENERAL STORE
KUM & GO #229 / SIOUX CITY,KUM & GO
CASEY'S GENERAL STORE #2614 / DONNELLSON,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2552 / GOLDFIELD,CASEY'S GENERAL STORE
HOMETOWN FOODS / TRAER,HOMETOWN FOODS
KUM & GO #226 / SIOUX CITY,KUM & GO
OSAGE PAYLESS FOODS,OSAGE PAYLESS FOODS
CASEY'S GENERAL STORE #2914 / HARLAN,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2989 / MECHANICSVILLE,CASEY'S GENERAL STORE
THE MOLEHILL,THE MOLEHILL
KUM & GO #228 / SIOUX CITY,KUM & GO
KUM & GO #508 / CEDAR RAPIDS,KUM & GO
SELECT MART / SIOUX CITY,SELECT MART
CAR-GO-EXPRESS / SUTHERLAND,CAR-GO-EXPRESS
CASEY'S GENERAL STORE #2357 / ALLISON,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #1330 / HAMBURG,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2304 / SLATER,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2551 / WOODWARD,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2592 / FARMINGTON,CASEY'S GENERAL STORE
SMOKIN' JOE'S #9 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
JIFFY #926 / SPIRIT LAKE,JIFFY
J & C GROCERY / DUMONT,J & C GROCERY
CASEY'S GENERAL STORE #2561 / FARLEY,CASEY'S GENERAL STORE
SAM'S MINI MART / SIOUX CITY,SAM'S MINI MART
DYNO'S #53 / SIBLEY,DYNO'S
CASEY'S GENERAL STORE #3045 / CEDAR FALLS,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #3052 / CLARION,CASEY'S GENERAL STORE
DYNO'S #29 / EMMETSBURG,DYNO'S
QUIK TRIP #554 / SW 63RD DM,QUIK TRIP
QUIK TRIP #559 / FLEUR DR DM,QUIK TRIP
QUIK TRIP #534 / E UNIVERSITY DM,QUIK TRIP
QUIK TRIP #501 / E EUCLID DM,QUIK TRIP
QUIK TRIP #500 / HUBBELL DM,QUIK TRIP
KUM & GO #207 / HUBBELL DM,KUM & GO
KUM & GO #4110 / GUTHRIE DM,KUM & GO
CHEAP SMOKES / BEER CITY,CHEAP SMOKES
KUM & GO #208 / SE 14TH DM,KUM & GO
PIT STOP LIQUORS / NEWTON,PIT STOP LIQUORS
KUM & GO #509 / MARION,KUM & GO
CASEY'S GENERAL STORE #1024 / GUTTEN,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #3050 / COUNCIL BLUFFS,CASEY'S GENERAL STORE
KUM & GO #579 / ANKENY,KUM & GO
CASEY'S GENERAL STORE #2992 / FONDA,CASEY'S GENERAL STORE
SPARKY'S ONE STOP / CARROLL,SPARKY'S ONE STOP
LICKETY LIQUOR,LICKETY LIQUOR
SMOKIN' JOE'S #3 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
CASEY'S GENERAL STORE #23 / MAXWELL,CASEY'S GENERAL STORE
QUIK TRIP #544 / SE 14TH DM,QUIK TRIP
CASEY'S GENERAL STORE #1493 / VAN METER,CASEY'S GENERAL STORE
KWIK SHOP #568 / HIAWATHA,KWIK SHOP
KWIK SHOP #527 / COUNCIL BLUFFS,KWIK SHOP
CASEY'S GENERAL STORE #1388 / SULLY,CASEY'S GENERAL STORE
OELWEIN BOTTLE AND CAN INC.,OELWEIN BOTTLE AND CAN
KWIK SHOP #541 / GLENWOOD,KWIK SHOP
EZ STOP / DAVENPORT,EZ STOP
THUNDER RIDGE AMPRIDE,THUNDER RIDGE AMPRIDE
KWIK SHOP #520 / CARTER LAKE,KWIK SHOP
KWIK SHOP #565 / CEDAR RAPIDS,KWIK SHOP
KWIK SHOP #563 / CEDAR RAPIDS,KWIK SHOP
KWIK SHOP #561 / CEDAR RAPIDS,KWIK SHOP
KWIK SHOP #560 / CEDAR RAPIDS,KWIK SHOP
GD XPRESS / DAVENPORT,GD XPRESS
MART STOP #1 / DAVENPORT,MART STOP
KUM & GO #573 / SE 14TH DM,KUM & GO
LIQUOR AND TOBACCO OUTLET / UNIV AVE WATERLOO,LIQUOR AND TOBACCO OUTLET
CUBBY'S RED OAK,CUBBY'S
KWIK SHOP #588 / DAVENPORT,KWIK SHOP
KWIK SHOP #589 / ELDRIDGE,KWIK SHOP
B AND B EAST / WATERLOO,B AND B EAST
PRIME MART / BROADWAY WATERLOO,PRIME MART
LOOFTS ON 9 LIQUOR HERE OR LIQUOR THERE,LOOFTS ON 9 LIQUOR HERE OR LIQUOR THERE
CASEY'S GENERAL STORE #2300 / JEWELL,CASEY'S GENERAL STORE
BRADY MART FOOD & LIQUOR,BRADY MART
CASEY'S GENERAL STORE #1617 / JEFFERSON,CASEY'S GENERAL STORE
KUM & GO #510 / STUART,KUM & GO
CASEY'S GENERAL STORE #2237 / PRAIRIE CITY,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2301 / AMES,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2526 / WELLSBURG,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #3027 / IOWA FALLS,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2802 / CONRAD,CASEY'S GENERAL STORE
HILL BROTHERS JIFFY MART / CEDAR RAPIDS,HILL BROTHERS JIFFY MART
QUIK TRIP #531 / GRIMES,QUIK TRIP
CASEY'S GENERAL STORE #3077 / PEOSTA,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #24 / BOONE,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2896 / ANKENY,CASEY'S GENERAL STORE
CLEAR LAKE PAYLESS FOODS,PAYLESS FOODS
VOM FASS / DES MOINES,VOM FASS
SONNY'S SUPER MARKET / WEST POINT,SONNY'S SUPER MARKET
KUM & GO #227 / AMES,KUM & GO
KUM & GO #113 / AMES,KUM & GO
COSTCO WHOLESALE #1111 / CORALVILLE,COSTCO WHOLESALE
FAREWAY STORES #124 / ADEL,FAREWAY STORES
WALGREENS #12393 / CEDAR RAPIDS,WALGREENS
INDY 66 #928 / INDIANOLA,INDY 66
KWIK STOP FOOD MART,KWIK STOP
KUM & GO #517 / CEDAR RAPIDS,KUM & GO
WALGREENS #10770 / CARROLL,WALGREENS
WALGREENS #11759 / FORT MADISON,WALGREENS
SUPER STOP AND SHOP / BALDWIN,SUPER STOP AND SHOP
WALGREENS #05886 / KEOKUK,WALGREENS
RINA MART LLC / DAVENPORT,RINA MART
WALGREENS #09791 / ALTOONA,WALGREENS
QUIK TRIP #517 / WEST DES MOINES,QUIK TRIP
SOUTHSIDE LIQUOR & TOBACCO / IOWA CITY,SOUTHSIDE LIQUOR & TOBACCO
QUALITY QUICK STOP,QUALITY QUICK STOP
WALGREENS #06553 / BETTENDORF,WALGREENS
J & C GROCERY / ALLISON,J & C GROCERY
WALGREENS #11193 / BOONE,WALGREENS
WALGREENS #05361 / FORT DODGE,WALGREENS
WALGREENS #00910 / SIOUX CITY,WALGREENS
WALGREENS #05977 / CORALVILLE,WALGREENS
WALGREENS #05144 / CLINTON,WALGREENS
WALGREENS #05119 / CLINTON,WALGREENS
NO FRILLS SUPERMARKETS #803 / GLENWOOD,NO FRILLS SUPERMARKETS
WALGREENS #12108 / AMES,WALGREENS
WALGREENS #09708 / DUBUQUE,WALGREENS
WALGREENS #06154 / DUBUQUE,WALGREENS
WALGREENS #11942 / DUBUQUE,WALGREENS
WALGREENS #10985 / CORALVILLE,WALGREENS
WALGREENS #05943 / INDIANOLA,WALGREENS
WALGREENS #06678 / WEST DES MOINES,WALGREENS
WALGREENS #11153 / SPENCER,WALGREENS
WALGREENS #05512 / BETTENDORF,WALGREENS
WALGREENS #06623 / WEST DES MOINES,WALGREENS
WALGREENS #06677 / WEST DES MOINES,WALGREENS
CHARITON BP,CHARITON BP
WALGREENS #05044 / BURLINGTON,WALGREENS
WALGREENS #09476 / BURLINGTON,WALGREENS
WALGREENS #10557 / CEDAR FALLS,WALGREENS
WALGREENS #05942 / NEWTON,WALGREENS
CASEY'S GENERAL STORE #1548 / ANKENY,CASEY'S GENERAL STORE
WALGREENS #07454 / ANKENY,WALGREENS
WALGREENS #07996 / ANKENY,WALGREENS
WALGREENS #05077 / IOWA CITY,WALGREENS
WALGREENS #05944 / JOHNSTON,WALGREENS
WALGREENS #05060 / CLIVE,WALGREENS
WALGREENS #07967 / CLIVE,WALGREENS
WALGREENS #03773 / URBANDALE,WALGREENS
WALGREENS #04973 / URBANDALE,WALGREENS
WALGREENS #01301 / OTTUMWA,WALGREENS
WALGREENS #03876 / MARION,WALGREENS
WALGREENS #11330 / STORM LAKE,WALGREENS
CASEY'S GENERAL STORE #2284 / COUNCIL BLUFFS,CASEY'S GENERAL STORE
WALGREENS #05306 / COUNCIL BLUFFS,WALGREENS
WALGREENS #04405 / COUNCIL BLUFFS,WALGREENS
WALGREENS #03700 / COUNCIL BLUFFS,WALGREENS
FAMILY FARE #791,FAMILY FARE
WALGREENS #03875 / CEDAR RAPIDS,WALGREENS
WALGREENS #05042 / CEDAR RAPIDS,WALGREENS
WALGREENS #05885 / MUSCATINE,WALGREENS
WALGREENS #11709 / DAVENPORT,WALGREENS
WALGREENS #06186 / DAVENPORT,WALGREENS
WALGREENS #05239 / DAVENPORT,WALGREENS
WALGREENS #04041 / DAVENPORT,WALGREENS
WALGREENS #03595 / DAVENPORT,WALGREENS
GASLAND / BURLINGTON,GASLAND
CASEY'S GENERAL STORE #2521 / ADAIR,CASEY'S GENERAL STORE
WALGREENS #12148 / WAVERLY,WALGREENS
WALGREENS #05941 / MASON CITY,WALGREENS
WALGREENS #03196 / MARSHALLTOWN,WALGREENS
EZ MART / BONDURANT,EZ MART
WALGREENS #10855 / WATERLOO,WALGREENS
WALGREENS #07455 / WATERLOO,WALGREENS
WALGREENS #03590 / WATERLOO,WALGREENS
HUBER'S STORE INC.,HUBER'S STORE
KWIK STOP C-STORES / DUBUQUE,KWIK STOP
KEYWEST CONOCO / DUBUQUE,KEYWEST CONOCO
CASEY'S GENERAL STORE #3075 / ANKENY,CASEY'S GENERAL STORE
ELMA LOCKER AND GROCERY,ELMA LOCKER AND GROCERY
CASEY'S GENERAL STORE #3080 / HUDSON,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #3034 / ESTHERVILLE,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #37 / DAKOTA CITY,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #3730 / PAULLINA,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #3030 / STORM LAKE,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #3782 / MOUNT AYR,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #3043 / BRITT,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #3079 / EARLY,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2529 / LAMONI,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #1684 / EMMETSBURG,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #2835 / AVOCA,CASEY'S GENERAL STORE
CASEY'S GENERAL STORE #1706 / WINTERSET,CASEY'S
380BP / SWISHER,BP
WALGREENS #12580 / CEDAR RAPIDS,WALGREENS
KATY DID'S GENERAL STORE,KATY DID'S
MEDIAPOLIS FAST BREAK,MEDIAPOLIS
WALGREENS #05470 / SIOUX CITY,WALGREENS
CASEY'S GENERAL STORE #2899 / DE SOTO,CASEY'S
FORT MADISON FAST BREAK,FORT MADISON
SMOKIN' JOE'S #17 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
WALGREENS #00359 / DES MOINES,WALGREENS
WALGREENS #04714 / DES MOINES,WALGREENS
WALGREENS #05362 / DES MOINES,WALGREENS
WALGREENS #05721 / DES MOINES,WALGREENS
WALGREENS #05777 / DES MOINES,WALGREENS
WALGREENS #07968 / DES MOINES,WALGREENS
WALGREENS #05852 / DES MOINES,WALGREENS
WALGREENS #07452 / DES MOINES,WALGREENS
WALGREENS #07453 / DES MOINES,WALGREENS
WALGREENS #07833 / DES MOINES,WALGREENS
LIQUOR TOBACCO & GROCERY / FORT DODGE,LIQUOR TOBACCO & GROCERY
GIRI'S LIQUOR STORE / WEST LIBERTY,GIRI'S
WILLIAMSBURG FOODS,WILLIAMSBURG
CB QUICK STOP / COUNCIL BLUFFS,CB QUICK STOP
KUM & GO #518 / ANKENY,KUM & GO
CASEY'S GENERAL STORE #1327 / LOVILIA,CASEY'S
CASEY'S GENERAL STORE #3217 / KNOXVILLE,CASEY'S
DECORAH MART,DECORAH
SUPER STOP 2 / ALTOONA,SUPER STOP
CASEY'S GENERAL STORE #3215 / OSKALOOSA,CASEY'S
CASEY'S GENERAL STORE #3223 / CRESTON,CASEY'S
CASEY'S GENERAL STORE #3852 / CRESTON,CASEY'S
CASEY'S GENERAL STORE #3212 / OSCEOLA,CASEY'S
CASEY'S GENERAL STORE #3228 / MARSHALLTOWN,CASEY'S
CENTRAL CITY 2,CENTRAL CITY
L & M GAS & GROCERY / BOONE,L & M
KUM & GO #52 / IOWA CITY,KUM & GO
KUM & GO #51 / IOWA CITY,KUM & GO
CASEY'S GENERAL STORE #2448 / OGDEN,CASEY'S
COZY MART,COZY MART
STEWART ROAD FAST BREAK,STEWART ROAD
IOWA CITY FAST BREAK,IOWA CITY
CASEY'S GENERAL STORE #2697 / ONAWA,CASEY'S
SLAGLE FOODS LECLAIRE,SLAGLE FOODS
KUM & GO #246 / WINTERSET,KUM & GO
C FRESH MARKET,C FRESH
KUM & GO #520 / CEDAR RAPIDS,KUM & GO
KUM & GO #62 / JOHNSTON,KUM & GO
CASEY'S GENERAL STORE #3029 / ARMSTRONG,CASEY'S
CASEY'S GENERAL STORE #3200 / STRAWBERRY POINT,CASEY'S
BROTHERS MARKET / LISBON,BROTHERS MARKET
WESTLAND FAST BREAK,WESTLAND
HWY 34 TRUCKSTOP,HWY 34
CIRCLE K #6604 / BURLINGTON,CIRCLE K
THE STATION / CEDAR RAPIDS,THE STATION
